AAPL,"Apple Inc. - Common Stock"
AMZN,"Amazon.com, Inc. - Common Stock"
DIS,"Walt Disney Company (The) Common Stock"
FB,"Facebook, Inc. - Class A Common Stock"
GOOG,"Alphabet Inc. - Class C Capital Stock"
MSFT,"Microsoft Corporation - Common Stock"
NFLX,"Netflix, Inc. - Common Stock"
NVDA,"NVIDIA Corporation - Common Stock"
TSLA,"Tesla, Inc.  - Common Stock"
V,"Visa Inc."
